ID,Session,Seen video before?,Chosen color,Saw icons?,Gender,Wear contacts
1,1,n,b,n,f,n
2,1,n,b,n,m,n
3,1,n,r,n,f,n
4,1,n,y,n,m,y
5,1,n,b,n,m,n
6,1,n,b,star,m,n
7,1,n,b,n,m,n
8,1,n,r,both,f,n
9,1,n,g,n,f,n
10,1,y,r,n,m,n
11,1,n,b,n,m,n
12,1,n,g,n,m,n
13,1,n,b,n,m,y
14,1,n,b,smiley,m,n
15,1,n,b,smiley,m,n
16,2,n,g,smiley,m,n
17,2,n,b,both,m,n
18,2,y,g,n,m,n
19,2,n,b,both,m,n
20,2,n,g,n,m,n
21,2,y,b,n,m,n
22,2,n,r,smiley,f,y
23,2,n,b,n,m,n
24,2,n,r,n,f,n
25,2,n,b,n,m,y
26,2,y,b,n,m,n
27,2,y,r,both,m,n
28,2,n,g,n,f,n
29,2,n,r,n,m,n
30,2,n,b,smiley,m,n
